word;clarification;classification;endіngs;and;look;from;vars;but
АА́Н;Арґаніза́цыя Аб’ядна́ных На́цыяў;<i>нязьм.</i>;;;;;;
абка́м;абласны́ камітэ́т;;-му;;;;;
аблана́;абласны́ аддзе́л наро́днай асьве́ты;<i>нязьм.</i>;;;;;;
аблвыканка́м;абласны́ выкана́ўчы камітэ́т;;-му;;;;;
АБСЭ;Арґаніза́цыя Бясьпе́кі і Супрацо́ўніцтва ў Эўро́пе;;;;;;;
аві́р;аддзе́л віз і рэґістра́цыяў;;;;;;;
агу́льнік;агульнае палажэньне;;-ку;;;;;
АПК;а́грапрамысло́вы ко́мплекс;;;;;;;
АўтаВА́З;;;-Зу;;;;;
АЭ́С;а́тамная электры́чная ста́нцыя;;;;;;;
БАМ;Байка́ла-Аму́рская Маґістра́ль;;;;;;;
БАС;Белару́скае Аб’ядна́ньне Студэ́нтаў;;;;;;;
БДУ;Белару́скі Дзяржа́ўны Ўнівэрсытэ́т;;;;;;;
БелА́З;Белару́скі Аўтамабі́льны Заво́д;;;;;;;
Беламоркана́л;;;-лу;;;;;
БелаПА́Н;Белару́скае Прыва́тнае Аґе́нцтва Наві́наў;;;;;;;
Белбізнэсба́нк;;;;;;;;
Белдзяржкансэрвато́рыя;;;;;;;;
Белдзяржпрае́кт;;;;;;;;
Белдзяржунівэрсытэ́т;;;;;;;;
Белдзяржфілярмо́нія;;;;;;;;
Белжылпрае́кт;;;;;;;;
Белзьнешэканомба́нк;;;;;;;;
Белінтуры́ст;;;;;;;;
Белінфармпрагно́з;;;;;;;;
Белкні́га;;;;;;;;
Беллітка́м;;;;;;;;
Белнацба́нк;;;;;;;;
Белпрамбудба́нк;;;;;;;;
Белрэстаўра́цыя;;;;;;;;
Белсаўпра́ф;;;;;;;;
Белста́ль;;;;;;;;
БелСЭ́;Белару́ская Саве́цкая Энцыкляпэ́дыя;;;;;;;
БЕ́ЛТА;Белару́скае Тэлегра́фнае Аґе́нцтва;;;;;;;
Белтрансга́з;;;;;;;;
БелЭ́н;Белару́ская Энцыкляпэ́дыя;;;;;;;
БЗВ;Белару́скае Згуртава́ньне Вайско́ўцаў;;;;;;;
БІНі́М;Белару́скі Інстыту́т Наву́кі і Маста́цтва;;;;;;;
БКА;Белару́ская Краё́вая Абаро́на;;;;;;;
БНР;Белару́ская Наро́дная Рэспу́бліка;;;;;;;
БНРаўскі;;;;;;;;
БНФ;Белару́скі Наро́дны Фро́нт;;;;;;;
БПЦ;Белару́ская Правасла́ўная Царква́;;;;;;;
БСГ;Белару́ская Сацыялісты́чная Грамада́;;;;;;;
БСДГ;Белару́ская Сацыя́л-Дэмакраты́чная Грамада́;;;;;;;
БССР;Белару́ская Саве́цкая Сацыялісты́чная Рэспу́бліка;;;;;;;
БССРаўскі;;;;;;;;
БТ;Белару́скае Тэлеба́чаньне;;;;;;;
БЦР;Белару́ская Цэнтра́льная Ра́да;;;;;;;
ВІ́А;вака́льна-інструмэнта́льны анса́мбль;;;;;;;
ВКЛ;Вялі́кае Кня́ства Літо́ўскае;;;;;;;
ВНУ;вышэ́йшая навуча́льная ўстано́ва;;;;;;;
ГАЗ;;;;;;;;
гістпа́рт;Інстыту́т Гісто́рыі Па́ртыі;;-ту;;;;;
гістфа́к;Гістары́чны факультэ́т;;-ку;;;;;
Го́мсельма́ш;Го́мельскі заво́д сельскагаспада́рчага машынабудава́ньня;;;;;;;
ГПУ;<i>рас.</i> Государственное Политическое Управление;;;;;;;
ГУЛА́Г;<i>рас.</i> Государственное Управление Лагерей;;;;;;;
ГУМ;<i>рас.</i> городской универсальный магазин;;;;;;;
ДАІ́;Дзяржа́ўная Аўтамабі́льная Інспэ́кцыя;;;;;;;
дамка́м;дамавы́ камітэ́т;;-му;;;;;
Дзяржкамдру́к;Дзяржа́ўны Камітэ́т Дру́ку;;-ку;;;;;
Дзяржкамста́т;Дзяржа́ўны Камітэ́т Статы́стыкі;;-ту;;;;;
ДК;Дом культу́ры;;;;;;;
журфа́к;факультэ́т журналі́стыкі;;-ку;;;;;
ЖЭС;;;ЖЭ́Су;;;;;
ЗАГС;за́піс, а́ктаў грамадзя́нскага ста́ну;;-у;;;;;
заўга́с;заве́дуюшчы гаспада́ркі;;-са;;;;;
ЗБС;Згуртава́ньне Белару́скіх Студэ́нтаў;;;;;;;
ЗША;Злу́чаныя Шта́ты Амэ́рыкі;;;;;;;
