word;clarification;classification;endіngs;and;look;from;vars;but
Аальба́рґ;;;;;О́льбарґ;;;
Аамы́нь;<i>м.</i> у Кітаі;;;;;Aomen;;
Аа́хен;;;;;А́хен;;;
Аба́еў;;;-ва, <i>М</i> -ву;;;;;
Абака́н;;;-ну, <i>М</i> -не;;;;;
Абале́нскі;;;;;;;;
Абасаба́д;<i>м.</i> у Іране;;;;;‘Abbāsābād;;
А́бвэр;;;-ру;;;Abwehr;;
Абдала́х;;;;;;Abdallah;;
Абдзірало́віч;;;;;;;;
Абдулаты́паў;;;;;;;;
Абду́лаў;;;;;;;;
Абісы́нія;;;;;;;;
Абрага́м;;;;;;Abraham;;
Абра́м;;;-ма, <i>М</i> -му;;;;;
Абха́зія;;;;;;;;
А́бэль;;<i>кат.</i>;;А́вэль;;;;
Аваку́м;;;;;;;;
Аві́дый;;;-дыя, <i>М</i> -дыю;;;;;
Авіньё́н;;;-ну;;;;;
А́вэль;;<i>прав.</i>;;А́бэль;;;;
Авэна́рыюс;;;;;;Avenarius;;
Ага́ё;штат у ЗША;;;;;Ohio;;
Аґно́н;;;;;;Agnon;;
Аґю́ст;;;;;;Auguste;;
Аґюстэ́н;;;;;;Augustin;;
Адабаш’я́н;;;;;;;;
Адальфі́на;;;;;;Adolfina;;
Ада́м;;;-ма;;;;;
Адо́еўскі;;;;;;;;
Адрыяно́паль;;;;;;;;
Адрыя́тыка;;;;;;;;
Адыге́я;;;;;;;;
Адысэ́й;;;;;;;;
Адысэ́я;;;;;;;;
Ады́с-Абэ́ба;<i>стал.</i> Этыёпіі;;;;;Addis Abeba;;
Адэлаі́да;<i>м.</i> у Аўстраліі;;;;;Adelaide;;
Адэо́н;;;;;;Odéon;;
Адэ́са;;;;;;;;
Ажэ́шка;;;;;;Orzeszko;;
Азаро́нак;;;;;;;;
А́зія;;;;;;;;
Азо́ў;;;;;;;;
Азэрбайджа́н;;;-ну;;;;;
Аі́д;;;;;;;;
А́йзэк;;;;;;Isaac;;
Айзэншмі́т;;;;;;;;
Айзэншта́т;;;;;;;;
Айкумэ́на;;;;;;;;
А́йрыс;;;;;;Iris;;
